6.223611952821648252e-01,6.871860260613840143e-01
4.065363116000124677e+01,9.376470155119346828e+01
4.336913379382201783e-01,2.367028100551813452e+00
8.919728485512425209e+01,5.367998877152629689e+01
5.419776864225386293e-01,1.621759440357062598e-01
2.710133527758761485e+00,3.337539617267896164e-01
2.761037218773303437e+00,4.174863785799542981e+00
3.141291487104827529e-01,2.180578849895096483e-01
3.185778272580392478e+00,1.635512044454970892e+00
2.275585985402022970e+01,5.764086967984279397e+01
1.168566643115113379e+00,7.821176289044806662e-01
1.214413568206087923e+00,6.177633294738110736e-01
5.570501663742778220e+01,2.392668314736644675e+01
6.543537613712745449e-01,2.749585996372974628e-01
1.533115158319430371e+01,7.303692072602695484e-01
7.251715580852936827e-02,2.358727436722908577e-01
3.035470628954864414e-01,1.205362663197666606e+00
4.050508941048897582e-01,2.106381497437397776e+00
8.576676877960046630e-01,7.020285179533238828e-01
1.789597705938715810e+00,5.967948751849989630e-01
1.208346507291337080e+00,8.043601949655747596e-01
2.189822671857153402e+00,5.994663842735116210e-01
1.011886320990266874e+00,9.410725774950164935e-01
4.113083672403226032e+00,1.634124413582470625e+00
7.990938709881982849e-01,1.785064694131201501e-01
